,Domain 0,Domain 1,Domain 2,Domain 3,Domain 4,Mean
290,63.62179487179487,,,,,63.62179487179487
291,63.62179487179487,,,,,63.62179487179487
292,63.62179487179487,,,,,63.62179487179487
293,63.62179487179487,,,,,63.62179487179487
294,63.62179487179487,,,,,63.62179487179487
295,63.46153846153846,,,,,63.46153846153846
296,63.62179487179487,,,,,63.62179487179487
297,63.46153846153846,,,,,63.46153846153846
298,63.46153846153846,,,,,63.46153846153846
299,63.46153846153846,,,,,63.46153846153846
300,63.46153846153846,,,,,63.46153846153846
301,63.46153846153846,,,,,63.46153846153846
302,63.46153846153846,,,,,63.46153846153846
303,63.46153846153846,,,,,63.46153846153846
304,63.62179487179487,,,,,63.62179487179487
305,63.46153846153846,,,,,63.46153846153846
306,63.46153846153846,,,,,63.46153846153846
307,63.46153846153846,,,,,63.46153846153846
308,63.46153846153846,,,,,63.46153846153846
309,63.62179487179487,,,,,63.62179487179487
310,63.62179487179487,,,,,63.62179487179487
311,63.46153846153846,,,,,63.46153846153846
312,63.30128205128205,,,,,63.30128205128205
313,63.30128205128205,,,,,63.30128205128205
314,63.30128205128205,,,,,63.30128205128205
315,63.30128205128205,,,,,63.30128205128205
316,63.30128205128205,,,,,63.30128205128205
317,63.30128205128205,,,,,63.30128205128205
318,63.30128205128205,,,,,63.30128205128205
319,63.46153846153846,,,,,63.46153846153846
320,63.30128205128205,,,,,63.30128205128205
321,63.62179487179487,,,,,63.62179487179487
322,63.46153846153846,,,,,63.46153846153846
323,63.46153846153846,,,,,63.46153846153846
324,63.46153846153846,,,,,63.46153846153846
325,63.46153846153846,,,,,63.46153846153846
326,63.46153846153846,,,,,63.46153846153846
327,63.30128205128205,,,,,63.30128205128205
328,63.46153846153846,,,,,63.46153846153846
329,63.46153846153846,,,,,63.46153846153846
330,63.46153846153846,,,,,63.46153846153846
331,63.30128205128205,,,,,63.30128205128205
332,63.30128205128205,,,,,63.30128205128205
333,63.30128205128205,,,,,63.30128205128205
334,63.46153846153846,,,,,63.46153846153846
335,63.14102564102564,,,,,63.14102564102564
336,63.14102564102564,,,,,63.14102564102564
337,63.46153846153846,,,,,63.46153846153846
338,63.46153846153846,,,,,63.46153846153846
339,63.46153846153846,,,,,63.46153846153846
340,63.62179487179487,,,,,63.62179487179487
341,63.46153846153846,,,,,63.46153846153846
342,63.30128205128205,,,,,63.30128205128205
343,63.30128205128205,,,,,63.30128205128205
344,63.30128205128205,,,,,63.30128205128205
345,63.46153846153846,,,,,63.46153846153846
346,63.46153846153846,,,,,63.46153846153846
347,63.46153846153846,,,,,63.46153846153846
348,63.30128205128205,,,,,63.30128205128205
349,63.30128205128205,,,,,63.30128205128205
350,63.30128205128205,,,,,63.30128205128205
351,63.30128205128205,,,,,63.30128205128205
352,63.30128205128205,,,,,63.30128205128205
353,63.30128205128205,,,,,63.30128205128205
354,63.30128205128205,,,,,63.30128205128205
355,63.30128205128205,,,,,63.30128205128205
356,63.30128205128205,,,,,63.30128205128205
357,63.30128205128205,,,,,63.30128205128205
358,63.30128205128205,,,,,63.30128205128205
359,63.30128205128205,,,,,63.30128205128205
360,63.30128205128205,,,,,63.30128205128205
361,63.30128205128205,,,,,63.30128205128205
362,63.30128205128205,,,,,63.30128205128205
363,63.30128205128205,,,,,63.30128205128205
364,63.14102564102564,,,,,63.14102564102564
365,63.30128205128205,,,,,63.30128205128205
366,63.14102564102564,,,,,63.14102564102564
367,63.14102564102564,,,,,63.14102564102564
368,63.14102564102564,,,,,63.14102564102564
369,63.14102564102564,,,,,63.14102564102564
